signature,closure_depth,q_abs,observed_fraction,tensor_fraction,source_disposition,source_subbucket,typed_guard_allowed
3+4+6,3,1,2196185329861111111111111111111111111111111111111111111111111111111111111111111111111111111111111111/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,345536971386568045910493827160493827160493827160493827160493827160493827160493827160493827160493827/1250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
3+4+8,0,1,2136,537708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333/2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
3+4+9,3,1,3816322048611111111111111111111111111111111111111111111111111111111111111111111111111111111111111111/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2401765178162374614197530864197530864197530864197530864197530864197530864197530864197530864197530863/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
3+4+12,3,1,6084513454861111111111111111111111111111111111111111111111111111111111111111111111111111111111111111/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,23932683673905737606095679012345679012345679012345679012345679012345679012345679012345679012345679/31250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
3+6+6,0,3,4374,5581406249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
3+6+8,3,1,981082790798611111111111111111111111111111111111111111111111111111111111111111111111111111111111111/250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1234869832168390721450617283950617283950617283950617283950617283950617283950617283950617283950617283/2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
3+6+9,0,3,6804,4341093749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
3+6+12,0,3,10206,83349/64,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
3+8+8,3,3,4932891927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,196705488628811306423611111111111111111111111111111111111111111111111111111111111111111111111111111/312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
3+8+9,3,5,5545537326388888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1793153345555434992283950617283950617283950617283950617283950617283950617283950617283950617283950617/2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
