candidate_id,operator_class,partition,tier,role,M_native,q_abs,q_sign,closure_depth,stability_status
QP093A-0145,OCTET_COMPOSITE,1+8+8,3body_standard,3-body standard letter (carrier + envelope + sensor),4644,5,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0146,GROUND_BARYON_3BODY,1+8+9,3body_standard,3-body standard letter (carrier + envelope + sensor),5256,7,negative,0,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0147,GROUND_BARYON_3BODY,1+8+12,3body_standard,3-body standard letter (carrier + envelope + sensor),7524,7,negative,0,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0148,OCTET_COMPOSITE,1+9+9,3body_standard,3-body standard letter (carrier + envelope + sensor),5868,8,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0149,OCTET_COMPOSITE,1+9+12,3body_standard,3-body standard letter (carrier + envelope + sensor),8136,8,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0150,OCTET_COMPOSITE,1+12+12,3body_standard,3-body standard letter (carrier + envelope + sensor),10404,11,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0151,GROUND_BARYON_3BODY,2+2+2,3body_standard,3-body standard letter (carrier + envelope + sensor),432,2,positive,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE
QP093A-0152,OCTET_COMPOSITE,2+2+3,3body_standard,3-body standard letter (carrier + envelope + sensor),612,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0153,OCTET_COMPOSITE,2+2+4,3body_standard,3-body standard letter (carrier + envelope + sensor),864,1,positive,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0154,OCTET_COMPOSITE,2+2+6,3body_standard,3-body standard letter (carrier + envelope + sensor),1584,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0155,GROUND_BARYON_3BODY,2+2+8,3body_standard,3-body standard letter (carrier + envelope + sensor),2592,2,positive,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE
QP093A-0156,OCTET_COMPOSITE,2+2+9,3body_standard,3-body standard letter (carrier + envelope + sensor),3204,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0157,OCTET_COMPOSITE,2+2+12,3body_standard,3-body standard letter (carrier + envelope + sensor),5472,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
